Chromosome/scaffold name	Gene end (bp)	Gene start (bp)	Gene name	Strand
chr17	42276707	42199168	STAT5B_ENSG00000173757	-
chr17	40357643	40309192	RARA_ENSG00000131759	+
chr17	49362473	49289206	ZNF652_ENSG00000198740	-
chr17	43661954	43640388	MEOX1_ENSG00000005102	-
chr17	8124092	8120590	HES7_ENSG00000179111	-
chr17	49974959	49968970	DLX4_ENSG00000108813	+
chr17	2063241	2054154	HIC1_ENSG00000177374	+
chr17	61485110	61452404	TBX4_ENSG00000121075	+
chr17	49995224	49990005	DLX3_ENSG00000064195	-
chr17	5123116	5105541	ZNF232_ENSG00000167840	-
chr17	7484263	7459366	ZBTB4_ENSG00000174282	-
chr18	3459978	3411608	TGIF1_ENSG00000177426	+
chr18	59274086	59267035	RAX_ENSG00000134438	-
chr18	55664787	55222331	TCF4_ENSG00000196628	-
chr18	22202528	22169443	GATA6_ENSG00000141448	+
chr18	50288304	50282343	CXXC1_ENSG00000154832	-
chr18	57491297	57435685	ONECUT2_ENSG00000119547	+
chr18	51085045	51028394	SMAD4_ENSG00000141646	+
chr18	79529325	79395856	NFATC1_ENSG00000131196	+
chr18	54224788	54151601	MBD2_ENSG00000134046	-
chr18	47931146	47808957	SMAD2_ENSG00000175387	-
chr19	49362457	49340595	TEAD2_ENSG00000074219	-
chr19	12887199	12884422	KLF1_ENSG00000105610	-
chr19	57167443	57154021	DUXA_ENSG00000258873	-
chr19	50382982	50329653	NR1H2_ENSG00000131408	+
chr19	48637438	48630030	DBP_ENSG00000105516	-
chr19	47419523	47403124	MEIS3_ENSG00000105419	-
chr19	55603138	55600022	ZNF524_ENSG00000171443	+
chr19	51986856	51964343	ZNF350_ENSG00000256683	-
chr19	36418656	36383120	ZFP82_ENSG00000181007	-
chr19	12793315	12791496	JUNB_ENSG00000171223	+
chr19	57679152	57668935	ZSCAN4_ENSG00000180532	+
chr19	35279821	35268978	USF2_ENSG00000105698	+
chr19	45475179	45467995	FOSB_ENSG00000125740	+
chr19	56556810	56538948	ZFP28_ENSG00000196867	+
chr19	55624601	55620742	ZNF784_ENSG00000179922	-
chr19	1863568	1852399	KLF16_ENSG00000129911	-
chr19	1780988	1752373	ONECUT3_ENSG00000205922	+
chr19	20950697	20923222	ZNF85_ENSG00000105750	+
chr19	50431313	50418938	SPIB_ENSG00000269404	+
chr19	35644871	35641745	ETV2_ENSG00000105672	+
chr19	58302805	58278951	ZNF8_ENSG00000278129	+
chr19	57145202	57134096	ZIM3_ENSG00000141946	-
chr19	47843330	47819779	CRX_ENSG00000105392	+
chr19	58573575	58561931	MZF1_ENSG00000099326	-
chr19	45038198	45001430	RELB_ENSG00000104856	+
chr19	42196585	42086110	POU2F2_ENSG00000028277	-
chr19	3772221	3769089	RAX2_ENSG00000173976	-
chr19	14733746	14689801	ZNF333_ENSG00000160961	+
chr19	53637009	53632056	DPRX_ENSG00000204595	+
chr19	45873797	45863989	FOXA3_ENSG00000170608	+
chr19	19170289	19145568	MEF2B_ENSG00000213999	-
chr19	13103161	13099033	LYL1_ENSG00000104903	-
chr19	3469217	3314403	NFIC_ENSG00000141905	+
chr19	49665875	49659569	IRF3_ENSG00000126456	-
chr19	33382686	33373330	CEBPG_ENSG00000153879	+
chr19	17245940	17231883	NR2F6_ENSG00000160113	-
chr19	33302564	33299934	CEBPA_ENSG00000245848	-
chr19	18281622	18279760	JUND_ENSG00000130522	-
chr19	4066945	4044364	ZBTB7A_ENSG00000178951	-
chr19	14007039	13961538	RFX1_ENSG00000132005	-
chr19	975934	925781	ARID3A_ENSG00000116017	+
chr19	1652605	1609290	TCF3_ENSG00000071564	-
chr19	6199572	5993164	RFX2_ENSG00000087903	-
chr20	63007035	63005927	BHLHE23_ENSG00000125533	-
chr20	36593950	36573488	TGIF2_ENSG00000118707	+
chr20	33686404	33675683	E2F1_ENSG00000101412	-
chr20	63627041	63587602	GMEB2_ENSG00000101216	-
chr20	56639283	56629302	TFAP2C_ENSG00000087510	+
chr20	676179	661596	SCRT2_ENSG00000215397	-
chr20	44434596	44355700	HNF4A_ENSG00000101076	+
chr20	20370949	20368121	INSM1_ENSG00000173404	+
chr20	50192689	50190734	CEBPB_ENSG00000172216	+
chr20	49988886	49982999	SNAI1_ENSG00000124216	+
chr20	40689240	40685848	MAFB_ENSG00000204103	-
chr20	25082365	25070885	VSX1_ENSG00000100987	-
chr20	62475970	62463497	GATA5_ENSG00000130700	-
chr20	43716496	43667019	MYBL2_ENSG00000101057	+
chr20	22585455	22581005	FOXA2_ENSG00000125798	-
chr20	51802520	51782331	SALL4_ENSG00000101115	-
chr20	3786690	3783851	CENPB_ENSG00000125817	-
chr20	18059188	17956979	OVOL2_ENSG00000125850	-
chr20	57525652	57495966	CTCFL_ENSG00000124092	-
chr20	21718486	21705659	PAX1_ENSG00000125813	+
chr20	21514026	21511010	NKX2-2_ENSG00000125820	-
chr20	51562831	51386957	NFATC2_ENSG00000101096	-
chr20	64049641	64047582	SOX18_ENSG00000203883	-
chr21	29630751	29194071	BACH1_ENSG00000156273	+
chr21	38661780	38380027	ERG_ENSG00000157554	-
chr21	38824955	38805307	ETS2_ENSG00000157557	+
chr21	36004667	34787801	RUNX1_ENSG00000159216	-
chr21	33072420	33070144	OLIG1_ENSG00000184221	+
chr21	33029196	33025845	OLIG2_ENSG00000205927	+
chr21	44298648	44285838	AIRE_ENSG00000160224	+
chr21	25772460	25734570	GABPA_ENSG00000154727	+
chr21	43033931	42974510	PKNOX1_ENSG00000160199	+
chr22	37987422	37970686	SOX10_ENSG00000100146	-
chr22	38216511	38200767	MAFF_ENSG00000185022	+
chr22	41907308	41833079	SREBF2_ENSG00000198911	+
chr22	35087387	35066136	ISX_ENSG00000175329	+
chr22	31346232	31325804	PATZ1_ENSG00000100105	-
chr22	21451463	21417404	HIC2_ENSG00000169635	+
chr22	19150283	19148576	GSC2_ENSG00000063515	-
chr22	19783593	19756703	TBX1_ENSG00000184058	+
chr22	41399326	41367333	TEF_ENSG00000167074	+
chr22	39522685	39519695	ATF4_ENSG00000128272	+
chr22	46243756	46150521	PPARA_ENSG00000186951	+
chr22	28800597	28794555	XBP1_ENSG00000100219	-
chrX	154137103	154021573	MECP2_ENSG00000169057	-
chrX	47482946	47445879	ZNF41_ENSG00000147124	-
chrX	21858727	21855987	YY2_ENSG00000230797	+
chrX	47650604	47635521	ELK1_ENSG00000126767	-
chrX	83512127	83508261	POU3F4_ENSG00000196767	+
chrX	49043486	49028726	TFE3_ENSG00000068323	-
chrX	48794311	48786554	GATA1_ENSG00000102145	+
chrX	25016420	25003694	ARX_ENSG00000004848	-
chrX	71103535	71096197	FOXO4_ENSG00000184481	+
chrX	71532374	71366239	TAF1_ENSG00000147133	+
chrX	49264826	49250436	FOXP3_ENSG00000049768	-
chrX	120115937	120109053	RHOXF1_ENSG00000101883	-
chrX	2500967	2486414	ZBED1_ENSG00000214717	-
chrX	24216255	24149173	ZFX_ENSG00000005889	+
chrX	104254933	104250038	ESX1_ENSG00000123576	-
chrX	30309598	30304206	NR0B1_ENSG00000169297	-
chrX	140505116	140502985	SOX3_ENSG00000134595	-
chrX	67730619	67544032	AR_ENSG00000169083	+
chrX	137577691	137566142	ZIC3_ENSG00000156925	+
chrX	120258398	120250752	ZBTB33_ENSG00000177485	+
chrX	56287889	56232421	KLF8_ENSG00000102349	+
chrX	89922883	89921882	TGIF2LX_ENSG00000153779	+
chrX	659411	624344	SHOX_ENSG00000185960	+
chrY	2787699	2786855	SRY_ENSG00000184895	-
chrY	18588963	18546671	HSFY1_ENSG00000172468	+
